Country,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessibility to services,Housing,Community
South Korea,9.3,7.5,3.3,9.8,9.1,0,5,9,4.7,2.9
South Korea,9.9,8.2,3.3,9.5,10,2.2,4.3,8.6,4.1,5.1
Latvia,8.6,5.7,1.6,9.5,0.3,7.4,2.8,5.8,1.7,6.7
Latvia,9.1,5.6,1.2,9.2,0,7.1,0,5.4,1.7,6.6
Latvia,10,7.6,2.6,9,1.3,3.9,2.2,8,1.2,5.9
Latvia,9.3,7.5,2.2,9.1,1.9,7.1,4.7,5.8,1.7,7.3
Latvia,8.9,6,1.4,9.6,0.4,8.2,3.9,5,1.7,8.2
Latvia,8.7,6.4,1.8,9.2,0,7.5,2.5,5.2,2.3,8
Lithuania,10,6.4,2.7,8.6,0,7.5,0.5,5.6,4.3,5.4
Lithuania,10,7.6,3.1,9.3,1.4,7.7,1,6.8,4.2,5
Lithuania,10,7.4,3.1,9.8,1.2,8,0,6.2,3.6,6.1
Lithuania,9.3,5.5,2.1,9.6,0.2,8,0.2,4.9,5.1,4.5
Lithuania,9.5,5.6,2.2,9.5,0.4,8.1,0.7,6.1,4.4,5.6
Lithuania,9.5,7,2.6,9.3,0.4,8.2,0.3,5.5,3.1,6.6
Lithuania,8.9,5.8,2.6,8.8,0.2,8.4,0,4.7,5,6.1
Lithuania,9.5,6.3,2.5,9.4,0.8,8.7,0,5.8,3.5,4.2
Lithuania,9.2,4.1,2.2,9.6,0,8.3,0.3,5.2,6,4.2
Luxembourg,7,7,6,10,8,8,10,8,6,7
Luxembourg,7.6,7.5,6.3,9.9,8.2,8.2,10,8.6,6.2,6.8
Mexico,1.7,5.9,0.2,8.4,3,5.6,1.5,4.2,1.3,1.1
Mexico,1.6,6.8,0.4,0,2.4,4.3,0,4.9,1.2,5.2
Mexico,2.2,7.1,0.3,7.6,3,7.1,1.4,4.5,0.5,0.2
Mexico,1.3,6.8,0,8.1,2.4,4.7,4.4,3.6,0,6.2
Mexico,1.4,5.9,0.2,8,2.6,5.8,3.2,4.2,1.7,0
Mexico,1.8,7.8,0.3,0,2.2,6.4,2.2,4.1,0.8,2.7
Mexico,0,5.8,0,7.4,1.5,3.5,4,1.2,0,0
Mexico,1.2,7.4,0.3,0,1.9,5.9,0.7,4.2,2,1.5
Mexico,4.4,3.8,0.3,6.1,3.2,3.9,1.9,5.3,2,4.1
Mexico,0.6,6.5,0,7.9,2.9,6,0,3.4,1.2,3.9
Mexico,0,5.4,0,0,2,5.4,0.1,3.4,0.5,1.3
Mexico,0,7.3,0,0,2.5,6,3.2,2.5,0,2.2
Mexico,0.5,6.2,0,6.8,2.8,4.5,0.7,2.9,1.1,4.2
Mexico,1.5,6.9,0.1,3,2.4,6.1,1,4.4,1,2.5
Mexico,1.6,5.2,0,5.1,2.9,3.9,2.4,4.4,0.9,4.1
Mexico,0,6.6,0,0,2.5,5.9,1.3,2.8,0.5,0
Mexico,1.5,6.7,0,0,2.2,5.1,2.1,4.1,0.8,2.6
Mexico,1.3,9.5,0.1,6,2.8,6.8,2.2,3.6,1,4.4
Mexico,1.6,5.9,0.4,5.7,3.2,5.5,1.7,4.8,1.6,3.1
Mexico,0,7.3,0,4.4,2,5.2,2.9,1.9,0,5.5
Mexico,0.5,6.2,0,6.1,1.7,4.7,2.8,3.1,0.4,0.2
Mexico,2.3,4,0.2,7.4,2.5,4.9,1.9,4.2,1.1,2.9
